pH,Turbidez,Temperatura,TDS,ORP,OD,Etiqueta
3.6,13.0,21.2,1000.0,-509.0,2.7,Anomalia Quimica
8.2,1.0,22.6,666.0,574.0,6.2,Agua Segura
7.5,1.0,17.2,164.0,355.0,9.3,Agua Segura
7.6,3.0,26.6,153.0,451.0,9.4,Agua Segura
5.2,2.0,21.6,1000.0,-208.0,2.1,Anomalia Quimica
7.1,3.0,25.0,1000.0,425.0,6.2,Agua Segura
8.2,0.0,15.4,74.0,246.0,9.4,Agua Segura
6.6,30.0,26.5,429.0,18.0,0.4,Anomalia Biologica/Estancamiento
6.6,1.0,18.0,75.0,337.0,6.1,Agua Segura
8.1,1.0,16.2,580.0,203.0,4.8,Agua Segura
7.9,4000.0,20.8,724.0,380.0,7.8,Anomalia de Hardware
6.8,224.0,16.4,716.0,314.0,6.5,Anomalia Fisica
8.4,1.0,21.1,786.0,230.0,8.4,Agua Segura
7.8,3.0,17.7,896.0,255.0,7.6,Agua Segura
6.9,1.0,19.6,317.0,285.0,9.0,Agua Segura
8.5,2.0,17.6,141.0,575.0,8.9,Agua Segura
7.9,2.0,25.2,698.0,110.0,5.7,Agua Segura
8.4,109.0,21.7,445.0,101.0,7.0,Anomalia Fisica
7.1,1.0,17.3,221.0,169.0,4.9,Agua Segura
7.3,1.0,23.7,372.0,172.0,3.8,Agua Segura
7.1,1.0,15.5,519.0,425.0,9.7,Agua Segura
8.0,4000.0,25.2,371.0,433.0,9.7,Anomalia de Hardware
8.0,2.0,15.4,421.0,250.0,9.6,Agua Segura
8.1,30.0,31.4,382.0,-72.0,2.1,Anomalia Biologica/Estancamiento
6.5,20.0,29.0,859.0,234.0,5.7,Anomalia Fisica
8.3,3.0,20.7,1000.0,344.0,8.0,Agua Segura
7.4,198.0,24.4,767.0,254.0,6.0,Anomalia Fisica
7.8,2.0,23.7,627.0,407.0,9.9,Agua Segura
8.2,0.0,25.0,405.0,564.0,7.5,Agua Segura
6.7,3.0,22.8,929.0,421.0,7.1,Agua Segura
7.4,2.0,25.8,762.0,183.0,10.0,Agua Segura
7.1,1.0,17.6,406.0,591.0,7.9,Agua Segura
8.2,3.0,27.8,791.0,500.0,8.0,Agua Segura
6.8,1.0,28.5,685.0,478.0,10.1,Agua Segura
7.4,0.0,29.3,120.0,494.0,8.6,Agua Segura
7.9,0.0,19.9,579.0,133.0,5.6,Agua Segura
2.6,11.0,18.2,1000.0,-161.0,4.5,Anomalia Quimica
8.2,2.0,16.6,68.0,122.0,4.7,Agua Segura
7.3,1.0,15.6,185.0,288.0,6.1,Agua Segura
6.7,1.0,18.2,785.0,367.0,6.6,Agua Segura
7.3,2.0,16.0,315.0,556.0,6.3,Agua Segura
7.6,21.0,27.5,488.0,39.0,2.4,Anomalia Biologica/Estancamiento
3.4,7.0,17.2,1000.0,-471.0,5.8,Anomalia Quimica
7.8,225.0,15.6,385.0,228.0,6.2,Anomalia Fisica
7.7,3.0,28.7,995.0,544.0,8.8,Agua Segura
7.5,3.0,26.5,938.0,483.0,6.1,Agua Segura
7.5,3.0,22.8,429.0,244.0,10.0,Agua Segura
2.5,3.0,21.2,1000.0,-310.0,2.8,Anomalia Quimica
8.2,3.0,26.1,522.0,395.0,7.2,Agua Segura
7.4,2.0,24.5,948.0,479.0,6.9,Agua Segura
6.5,10.0,35.1,587.0,-104.0,0.0,Anomalia Biologica/Estancamiento
7.3,3.0,19.0,1000.0,271.0,9.5,Agua Segura
7.3,6.0,34.0,517.0,-62.0,1.7,Anomalia Biologica/Estancamiento
4.3,12.0,25.9,1000.0,-166.0,4.0,Anomalia Quimica
7.1,2.0,27.2,663.0,398.0,6.5,Agua Segura
7.7,2.0,21.4,408.0,229.0,9.6,Agua Segura
7.6,1.0,23.6,704.0,299.0,7.2,Agua Segura
7.5,2.0,27.7,313.0,444.0,9.8,Agua Segura
7.1,0.0,27.4,152.0,277.0,6.3,Agua Segura
8.0,1.0,16.7,407.0,441.0,6.5,Agua Segura
7.1,0.0,22.9,293.0,358.0,8.9,Agua Segura
6.8,2.0,19.8,526.0,425.0,9.6,Agua Segura
7.3,38.0,20.1,700.0,275.0,6.5,Anomalia Fisica
8.4,3.0,26.7,974.0,310.0,7.2,Agua Segura
7.3,2.0,15.6,39.0,585.0,6.8,Agua Segura
7.7,1.0,19.3,588.0,243.0,7.4,Agua Segura
2.9,6.0,24.9,1000.0,-327.0,4.4,Anomalia Quimica
8.3,2.0,24.7,747.0,324.0,8.6,Agua Segura
6.8,15.0,27.1,543.0,-12.0,1.7,Anomalia Biologica/Estancamiento
6.8,0.0,20.3,120.0,601.0,6.5,Agua Segura
7.3,3.0,26.1,974.0,485.0,9.6,Agua Segura
7.3,3.0,23.8,1000.0,371.0,9.2,Agua Segura
6.8,2.0,27.2,388.0,557.0,6.2,Agua Segura
6.8,2.0,18.3,334.0,313.0,9.7,Agua Segura
4.8,5.0,17.9,1000.0,-646.0,5.9,Anomalia Quimica
8.1,3.0,21.5,949.0,266.0,7.8,Agua Segura
4.8,11.0,22.6,1000.0,-452.0,3.8,Anomalia Quimica
7.3,6.0,29.9,457.0,-13.0,1.0,Anomalia Biologica/Estancamiento
7.4,1.0,22.6,531.0,464.0,10.0,Agua Segura
4.1,14.0,23.6,1000.0,-492.0,1.9,Anomalia Quimica
6.8,1.0,20.8,420.0,474.0,9.1,Agua Segura
6.8,3.0,26.6,734.0,499.0,6.2,Agua Segura
6.9,1.0,17.3,106.0,292.0,6.8,Agua Segura
8.3,1.0,28.0,769.0,562.0,9.0,Agua Segura
5.1,4.0,29.1,1000.0,-560.0,4.3,Anomalia Quimica
7.9,21.0,25.9,369.0,-0.0,0.7,Anomalia Biologica/Estancamiento
8.2,1.0,22.3,416.0,253.0,7.1,Agua Segura
7.0,4000.0,27.4,365.0,389.0,8.3,Anomalia de Hardware
8.2,64.0,24.3,440.0,59.0,5.8,Anomalia Fisica
5.5,3.0,18.1,1000.0,-613.0,3.1,Anomalia Quimica
3.0,5.0,24.1,1000.0,-427.0,5.4,Anomalia Quimica
6.7,1.0,23.5,456.0,122.0,4.5,Agua Segura
7.8,10.0,31.6,610.0,40.0,0.5,Anomalia Biologica/Estancamiento
7.0,2.0,15.3,131.0,565.0,6.9,Agua Segura
7.3,0.0,28.7,84.0,306.0,7.9,Agua Segura
7.0,1.0,16.7,532.0,246.0,9.7,Agua Segura
7.0,233.0,25.8,758.0,395.0,5.8,Anomalia Fisica
6.2,19.0,28.3,561.0,-10.0,0.5,Anomalia Biologica/Estancamiento
7.8,0.0,24.7,793.0,128.0,5.5,Agua Segura
8.1,2.0,22.0,597.0,499.0,9.7,Agua Segura
7.3,2.0,19.6,320.0,385.0,8.8,Agua Segura
2.1,0.0,28.0,1000.0,-696.0,4.4,Anomalia Quimica
2.6,0.0,27.1,1000.0,-210.0,3.8,Anomalia Quimica
4.3,2.0,24.7,1000.0,-160.0,4.8,Anomalia Quimica
8.0,2.0,18.6,194.0,289.0,6.7,Agua Segura
8.0,1.0,17.7,349.0,376.0,8.3,Agua Segura
7.4,19.0,25.3,311.0,-10.0,0.8,Anomalia Biologica/Estancamiento
7.5,1.0,28.6,57.0,105.0,4.6,Agua Segura
7.9,2.0,23.8,486.0,132.0,5.4,Agua Segura
7.1,0.0,27.4,763.0,217.0,8.1,Agua Segura
7.7,0.0,18.4,628.0,255.0,6.3,Agua Segura
8.0,1.0,18.6,757.0,307.0,8.7,Agua Segura
7.9,2.0,28.2,673.0,204.0,7.0,Agua Segura
8.4,2.0,29.5,436.0,401.0,9.8,Agua Segura
2.1,14.0,24.6,1000.0,-192.0,5.5,Anomalia Quimica
13.6,0.0,16.9,517.0,595.0,9.4,Anomalia de Hardware
7.2,2.0,27.7,747.0,174.0,4.8,Agua Segura
7.7,133.0,21.7,672.0,154.0,7.0,Anomalia Fisica
6.5,9.0,27.2,343.0,-29.0,1.9,Anomalia Biologica/Estancamiento
6.7,206.0,15.5,354.0,335.0,4.7,Anomalia Fisica
7.6,100.0,26.2,920.0,204.0,6.2,Anomalia Fisica
7.3,2.0,18.0,206.0,96.0,4.7,Agua Segura
4.9,2.0,29.7,1000.0,-418.0,5.1,Anomalia Quimica
8.0,1.0,20.1,394.0,278.0,6.0,Agua Segura
6.8,1.0,19.4,318.0,190.0,6.1,Agua Segura
6.9,3.0,15.2,1000.0,266.0,8.0,Agua Segura
7.9,0.0,22.3,179.0,344.0,6.7,Agua Segura
4.0,4.0,23.3,1000.0,-292.0,4.0,Anomalia Quimica
7.8,1.0,27.3,586.0,568.0,6.3,Agua Segura
7.6,0.0,19.8,444.0,245.0,9.0,Agua Segura
8.2,1.0,26.3,392.0,157.0,5.2,Agua Segura
8.1,2.0,19.2,584.0,544.0,8.6,Agua Segura
7.9,2.0,20.2,443.0,320.0,9.4,Agua Segura
7.0,1.0,19.4,370.0,540.0,9.7,Agua Segura
7.6,4000.0,18.7,283.0,597.0,7.0,Anomalia de Hardware
8.0,2.0,23.2,465.0,355.0,7.4,Agua Segura
8.3,1.0,18.0,438.0,144.0,4.1,Agua Segura
8.2,1.0,20.5,412.0,563.0,9.4,Agua Segura
14.0,0.0,19.4,271.0,427.0,7.5,Anomalia de Hardware
7.4,1.0,20.8,222.0,408.0,8.6,Agua Segura
3.0,2.0,26.0,1000.0,-458.0,4.5,Anomalia Quimica
7.0,0.0,23.9,544.0,230.0,10.0,Agua Segura
8.0,2.0,20.0,503.0,-25.0,0.0,Anomalia de Hardware
6.7,7.0,26.7,300.0,-19.0,1.2,Anomalia Biologica/Estancamiento
5.5,9.0,28.5,1000.0,-358.0,3.1,Anomalia Quimica
7.0,2.0,27.4,453.0,444.0,8.7,Agua Segura
7.6,0.0,19.3,482.0,373.0,9.1,Agua Segura
7.9,1.0,21.7,422.0,321.0,6.0,Agua Segura
7.6,0.0,19.0,578.0,397.0,9.5,Agua Segura
8.0,16.0,30.4,430.0,43.0,2.0,Anomalia Biologica/Estancamiento
8.2,2.0,22.1,464.0,304.0,5.9,Agua Segura
7.1,4000.0,25.1,70.0,393.0,8.4,Anomalia de Hardware
6.7,0.0,22.2,451.0,548.0,7.4,Agua Segura
8.3,3.0,27.6,923.0,369.0,6.1,Agua Segura
4.1,1.0,20.1,1000.0,-338.0,4.6,Anomalia Quimica
7.8,1.0,29.2,671.0,488.0,7.5,Agua Segura
7.9,14.0,32.2,334.0,-21.0,0.7,Anomalia Biologica/Estancamiento
8.3,0.0,27.3,292.0,233.0,6.9,Agua Segura
7.2,1.0,19.3,116.0,240.0,9.6,Agua Segura
8.0,1.0,25.6,228.0,409.0,6.8,Agua Segura
8.0,210.0,23.9,378.0,272.0,7.1,Anomalia Fisica
7.6,2.0,16.7,148.0,391.0,7.2,Agua Segura
7.9,1.0,25.2,148.0,164.0,4.7,Agua Segura
7.2,2.0,21.6,415.0,197.0,9.7,Agua Segura
7.3,33.0,21.5,740.0,381.0,4.8,Anomalia Fisica
7.1,2.0,19.7,353.0,555.0,6.8,Agua Segura
7.7,0.0,23.5,666.0,347.0,6.7,Agua Segura
7.3,2.0,19.2,116.0,389.0,7.3,Agua Segura
7.7,17.0,32.6,397.0,16.0,1.6,Anomalia Biologica/Estancamiento
8.2,1.0,28.7,200.0,385.0,8.6,Agua Segura
8.2,1.0,24.9,445.0,593.0,6.6,Agua Segura
8.0,3.0,29.7,992.0,537.0,7.9,Agua Segura
6.7,2.0,19.0,174.0,464.0,9.5,Agua Segura
7.2,0.0,19.2,338.0,470.0,6.3,Agua Segura
7.4,3.0,15.6,555.0,368.0,6.7,Agua Segura
7.0,1.0,23.5,688.0,509.0,8.7,Agua Segura
7.2,0.0,19.6,311.0,1000.0,7.7,Anomalia de Hardware
7.6,116.0,14.8,737.0,145.0,4.8,Anomalia Fisica
6.6,29.0,32.2,696.0,-44.0,0.2,Anomalia Biologica/Estancamiento
7.7,1.0,30.1,623.0,555.0,7.5,Agua Segura
7.3,149.0,25.8,508.0,128.0,5.3,Anomalia Fisica
7.1,280.0,22.0,863.0,178.0,4.1,Anomalia Fisica
8.1,1.0,16.4,282.0,408.0,7.7,Agua Segura
7.9,2.0,28.4,445.0,378.0,9.0,Agua Segura
7.8,1.0,24.0,548.0,418.0,9.1,Agua Segura
8.3,1.0,23.1,237.0,205.0,5.4,Agua Segura
7.9,1.0,23.8,605.0,300.0,8.9,Agua Segura
7.6,139.0,16.4,708.0,152.0,7.2,Anomalia Fisica
7.7,2.0,26.2,418.0,220.0,8.1,Agua Segura
3.0,8.0,19.0,1000.0,-730.0,2.8,Anomalia Quimica
7.3,2.0,17.1,367.0,232.0,6.9,Agua Segura
2.9,10.0,17.6,1000.0,-666.0,4.0,Anomalia Quimica
7.3,274.0,20.4,809.0,328.0,4.5,Anomalia Fisica
7.7,149.0,27.0,323.0,253.0,7.5,Anomalia Fisica
8.0,1.0,27.2,238.0,376.0,7.1,Agua Segura
6.9,2.0,21.8,191.0,576.0,9.7,Agua Segura
6.9,1.0,26.4,642.0,331.0,6.5,Agua Segura
5.1,11.0,23.3,1000.0,-149.0,4.0,Anomalia Quimica
7.7,19.0,27.1,559.0,-17.0,0.6,Anomalia Biologica/Estancamiento
7.7,1.0,23.9,324.0,497.0,8.4,Agua Segura
8.0,3.0,30.1,902.0,231.0,7.0,Agua Segura
8.2,1.0,24.5,288.0,291.0,9.2,Agua Segura
8.3,0.0,23.3,720.0,266.0,7.0,Agua Segura
6.8,3.0,20.5,417.0,563.0,8.2,Agua Segura
8.0,1.0,24.7,645.0,480.0,9.2,Agua Segura
6.8,2.0,28.2,142.0,427.0,9.4,Agua Segura
7.4,2.0,19.8,233.0,363.0,9.0,Agua Segura
7.5,2.0,15.2,355.0,273.0,8.8,Agua Segura
7.6,1.0,28.9,511.0,237.0,8.2,Agua Segura
6.8,1.0,21.3,413.0,439.0,6.8,Agua Segura
8.1,1.0,20.7,171.0,372.0,8.0,Agua Segura
8.2,2.0,23.4,444.0,368.0,6.5,Agua Segura
6.7,1.0,23.6,681.0,280.0,8.9,Agua Segura
6.9,1.0,21.8,378.0,392.0,8.4,Agua Segura
6.5,166.0,18.2,641.0,332.0,6.7,Anomalia Fisica
6.7,1.0,25.1,509.0,404.0,9.9,Agua Segura
7.4,0.0,26.8,746.0,233.0,8.9,Agua Segura
6.8,123.0,25.8,635.0,290.0,5.0,Anomalia Fisica
4.0,7.0,19.0,1000.0,-288.0,3.5,Anomalia Quimica
8.2,2.0,16.6,354.0,173.0,4.9,Agua Segura
7.4,28.0,32.2,359.0,-65.0,2.8,Anomalia Biologica/Estancamiento
6.8,2.0,17.3,404.0,328.0,8.3,Agua Segura
8.0,0.0,20.1,356.0,526.0,7.8,Agua Segura
7.3,1.0,15.5,609.0,582.0,8.3,Agua Segura
8.0,1.0,22.6,709.0,418.0,6.0,Agua Segura
6.9,8.0,30.5,638.0,33.0,1.8,Anomalia Biologica/Estancamiento
8.1,1.0,18.1,546.0,563.0,9.4,Agua Segura
8.1,2.0,23.2,359.0,163.0,4.2,Agua Segura
8.2,3.0,26.6,497.0,319.0,7.6,Agua Segura
2.8,14.0,26.8,1000.0,-189.0,4.3,Anomalia Quimica
8.0,1.0,21.1,708.0,153.0,4.9,Agua Segura
7.8,1.0,29.0,432.0,537.0,7.0,Agua Segura
6.8,0.0,28.1,248.0,281.0,6.6,Agua Segura
7.8,2.0,14.8,694.0,442.0,9.2,Agua Segura
8.5,20.0,29.7,695.0,34.0,1.3,Anomalia Biologica/Estancamiento
7.4,1.0,17.7,158.0,167.0,4.6,Agua Segura
7.6,1.0,21.0,337.0,253.0,6.0,Agua Segura
6.9,271.0,15.8,443.0,119.0,6.3,Anomalia Fisica
6.6,1.0,23.9,614.0,584.0,7.2,Agua Segura
7.9,196.0,26.2,780.0,292.0,5.8,Anomalia Fisica
6.9,3.0,28.6,1000.0,538.0,8.9,Agua Segura
2.2,5.0,26.7,1000.0,-248.0,4.3,Anomalia Quimica
8.4,3.0,26.8,923.0,323.0,8.4,Agua Segura
7.8,3.0,17.5,955.0,440.0,6.2,Agua Segura
6.2,9.0,34.5,343.0,14.0,1.2,Anomalia Biologica/Estancamiento
8.4,1.0,26.6,300.0,306.0,6.9,Agua Segura
6.5,16.0,29.9,275.0,-65.0,1.6,Anomalia Biologica/Estancamiento
8.0,2.0,17.5,654.0,371.0,9.1,Agua Segura
8.4,222.0,26.6,322.0,142.0,4.7,Anomalia Fisica
7.1,2.0,29.7,127.0,282.0,7.2,Agua Segura
13.6,0.0,22.8,649.0,532.0,7.6,Anomalia de Hardware
4.4,14.0,24.5,1000.0,-375.0,5.2,Anomalia Quimica
8.2,1.0,24.4,770.0,160.0,5.6,Agua Segura
6.9,1.0,23.9,615.0,223.0,6.1,Agua Segura
7.9,0.0,18.1,644.0,489.0,7.9,Agua Segura
6.9,2.0,19.3,230.0,134.0,5.1,Agua Segura
6.6,11.0,33.2,261.0,-41.0,3.0,Anomalia Biologica/Estancamiento
7.4,2.0,19.0,104.0,426.0,7.2,Agua Segura
5.4,12.0,15.7,1000.0,-528.0,5.6,Anomalia Quimica
8.4,18.0,25.1,492.0,33.0,1.9,Anomalia Biologica/Estancamiento
8.1,1.0,20.0,280.0,478.0,8.7,Agua Segura
7.2,1.0,28.0,478.0,116.0,5.7,Agua Segura
6.8,1.0,16.4,313.0,219.0,9.9,Agua Segura
6.6,3.0,17.4,1000.0,369.0,9.5,Agua Segura
7.7,1.0,18.8,210.0,510.0,9.5,Agua Segura
7.1,3.0,18.1,1000.0,369.0,8.3,Agua Segura
7.2,21.0,30.6,314.0,-32.0,1.8,Anomalia Biologica/Estancamiento
7.2,0.0,21.7,91.0,466.0,6.1,Agua Segura
8.0,1.0,19.0,60.0,229.0,6.2,Agua Segura
7.7,2.0,27.6,112.0,500.0,8.4,Agua Segura
7.5,0.0,20.6,535.0,123.0,5.7,Agua Segura
8.5,0.0,23.6,638.0,501.0,6.9,Agua Segura
8.3,3.0,27.7,974.0,354.0,7.8,Agua Segura
7.4,1.0,22.3,329.0,185.0,4.2,Agua Segura
7.6,2.0,23.9,340.0,390.0,7.4,Agua Segura
8.3,2.0,19.4,712.0,361.0,9.1,Agua Segura
7.9,1.0,22.8,651.0,270.0,8.1,Agua Segura
8.2,1.0,23.0,294.0,587.0,6.6,Agua Segura
7.4,0.0,19.4,314.0,537.0,7.8,Agua Segura
6.9,1.0,28.5,308.0,366.0,7.1,Agua Segura
6.5,22.0,32.0,407.0,-49.0,1.7,Anomalia Biologica/Estancamiento
7.7,10.0,34.5,445.0,-54.0,3.0,Anomalia Biologica/Estancamiento
8.1,2.0,29.1,771.0,468.0,10.1,Agua Segura
8.1,1.0,29.7,622.0,464.0,8.0,Agua Segura
4.7,10.0,29.1,1000.0,-484.0,4.4,Anomalia Quimica
8.3,1.0,18.2,78.0,544.0,8.9,Agua Segura
4.8,1.0,17.8,1000.0,-457.0,5.9,Anomalia Quimica
8.2,2.0,19.2,104.0,395.0,7.1,Agua Segura
7.2,0.0,22.0,434.0,433.0,6.7,Agua Segura
8.3,0.0,20.5,399.0,280.0,6.5,Agua Segura
7.8,142.0,26.9,642.0,240.0,4.8,Anomalia Fisica
6.7,0.0,17.0,272.0,554.0,9.3,Agua Segura
7.8,2.0,19.9,517.0,383.0,8.2,Agua Segura
7.8,1.0,17.4,235.0,364.0,8.2,Agua Segura
8.2,2.0,27.0,126.0,228.0,8.6,Agua Segura
7.3,1.0,26.9,192.0,560.0,7.7,Agua Segura
7.9,0.0,23.1,542.0,415.0,8.3,Agua Segura
7.0,2.0,17.6,349.0,263.0,8.2,Agua Segura
7.0,1.0,29.5,93.0,376.0,9.6,Agua Segura
8.0,1.0,29.1,622.0,568.0,7.8,Agua Segura
6.7,2.0,26.9,392.0,577.0,8.2,Agua Segura
3.9,6.0,20.6,1000.0,-743.0,3.3,Anomalia Quimica
7.9,0.0,28.2,638.0,592.0,7.3,Agua Segura
7.4,130.0,23.1,371.0,400.0,5.3,Anomalia Fisica
7.4,3.0,22.8,668.0,198.0,9.0,Agua Segura
6.6,1.0,19.1,637.0,342.0,9.7,Agua Segura
6.8,2.0,28.1,334.0,540.0,8.3,Agua Segura
6.7,2.0,16.5,193.0,242.0,7.5,Agua Segura
7.6,0.0,29.7,283.0,452.0,9.6,Agua Segura
8.1,0.0,29.7,229.0,168.0,4.6,Agua Segura
7.2,2.0,20.9,204.0,412.0,7.2,Agua Segura
7.9,1.0,26.1,629.0,573.0,9.4,Agua Segura
2.5,1.0,22.7,1000.0,-165.0,4.0,Anomalia Quimica
6.7,1.0,17.4,440.0,171.0,5.3,Agua Segura
2.3,3.0,15.6,1000.0,-370.0,5.3,Anomalia Quimica
8.3,14.0,30.8,314.0,-93.0,1.4,Anomalia Biologica/Estancamiento
7.9,1.0,23.1,652.0,300.0,9.3,Agua Segura
8.1,1.0,18.6,129.0,190.0,7.2,Agua Segura
7.0,1.0,27.4,154.0,229.0,9.3,Agua Segura
7.7,1.0,28.6,156.0,518.0,9.6,Agua Segura
8.3,2.0,19.1,166.0,260.0,7.3,Agua Segura
8.0,2.0,21.1,775.0,567.0,9.3,Agua Segura
8.2,0.0,25.1,334.0,365.0,10.1,Agua Segura
7.0,174.0,26.5,667.0,242.0,7.3,Anomalia Fisica
8.2,0.0,15.4,457.0,148.0,5.3,Agua Segura
7.4,1.0,20.5,469.0,371.0,6.3,Agua Segura
7.9,24.0,35.2,431.0,-78.0,0.1,Anomalia Biologica/Estancamiento
8.0,1.0,16.6,492.0,225.0,9.5,Agua Segura
7.6,0.0,28.1,164.0,250.0,8.7,Agua Segura
8.1,2.0,17.7,639.0,322.0,8.2,Agua Segura
8.2,1.0,24.4,240.0,1000.0,6.3,Anomalia de Hardware
7.6,0.0,15.4,389.0,342.0,8.5,Agua Segura
7.6,3.0,18.9,911.0,286.0,7.7,Agua Segura
7.3,115.0,18.4,527.0,310.0,6.3,Anomalia Fisica
7.3,1.0,23.5,285.0,136.0,5.8,Agua Segura
6.8,1.0,19.1,319.0,129.0,5.6,Agua Segura
7.3,1.0,22.0,719.0,585.0,7.0,Agua Segura
8.2,0.0,19.6,543.0,546.0,7.9,Agua Segura
7.0,1.0,15.0,463.0,273.0,6.2,Agua Segura
8.1,2.0,23.7,137.0,424.0,7.1,Agua Segura
7.1,1.0,17.3,62.0,413.0,8.2,Agua Segura
6.9,3.0,27.3,979.0,233.0,9.8,Agua Segura
3.0,12.0,18.0,1000.0,-418.0,3.4,Anomalia Quimica
8.0,0.0,26.7,532.0,322.0,9.5,Agua Segura
6.6,22.0,25.9,881.0,190.0,4.8,Anomalia Fisica
8.4,0.0,21.9,120.0,-15.0,0.1,Anomalia de Hardware
7.7,2.0,19.7,670.0,274.0,8.0,Agua Segura
8.3,3.0,22.0,405.0,533.0,6.8,Agua Segura
8.0,2.0,20.6,134.0,505.0,6.3,Agua Segura
6.7,2.0,25.7,353.0,380.0,6.4,Agua Segura
8.3,2.0,20.4,644.0,1000.0,10.0,Anomalia de Hardware
7.0,1.0,18.4,318.0,444.0,6.0,Agua Segura
8.3,1.0,18.6,613.0,404.0,7.0,Agua Segura
7.8,0.0,27.9,356.0,199.0,4.7,Agua Segura
8.4,1.0,28.9,355.0,-14.0,0.0,Anomalia de Hardware
8.2,3.0,28.5,943.0,343.0,8.0,Agua Segura
7.5,0.0,18.0,804.0,572.0,7.3,Agua Segura
4.0,7.0,19.4,1000.0,-341.0,3.6,Anomalia Quimica
7.9,195.0,29.3,415.0,114.0,4.8,Anomalia Fisica
6.9,1.0,26.9,763.0,409.0,9.1,Agua Segura
8.3,0.0,29.0,781.0,266.0,6.1,Agua Segura
13.4,1.0,29.2,586.0,292.0,7.9,Anomalia de Hardware
8.0,2.0,28.0,796.0,195.0,8.7,Agua Segura
7.8,2.0,28.7,737.0,442.0,7.9,Agua Segura
7.3,0.0,18.8,694.0,326.0,9.1,Agua Segura
6.6,4.0,25.6,942.0,534.0,9.2,Agua Segura
6.8,0.0,22.8,263.0,250.0,9.4,Agua Segura
8.5,193.0,28.7,647.0,340.0,4.5,Anomalia Fisica
8.3,1.0,21.7,665.0,455.0,9.8,Agua Segura
7.9,3.0,20.8,917.0,362.0,7.2,Agua Segura
8.3,1.0,21.9,779.0,125.0,5.0,Agua Segura
6.7,1.0,16.8,319.0,576.0,9.6,Agua Segura
7.9,0.0,15.9,458.0,318.0,8.6,Agua Segura
6.8,24.0,25.9,710.0,11.0,2.4,Anomalia Biologica/Estancamiento
7.4,1.0,27.3,697.0,288.0,8.8,Agua Segura
6.8,26.0,26.3,448.0,41.0,1.7,Anomalia Biologica/Estancamiento
8.0,176.0,23.2,625.0,125.0,4.9,Anomalia Fisica
2.8,3.0,16.3,1000.0,-428.0,3.6,Anomalia Quimica
6.9,2.0,22.2,444.0,331.0,8.2,Agua Segura
